Parameter Name,Value
General Information,
Sample name:,2762
Start of measurement:,03*09*2014 14:41:19
Stop of measurement:,17*09*2014 13:41:19
Duration of Measurements:,13 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,193
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,1
Subaddress:,1
Serial number:,764
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,03*09*2014 14:41:19
Tension top Air Entry Point,15*09*2014 02:11:19
Tension bottom Air Entry Point,15*09*2014 23:11:19
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.374176638193399
Dry soil weight [g]:,399.85
Additional Soil Paramters,
Density [g/cm3]:,1.61
Porosity [-]:,0.39
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
texture,
plot,
depth,
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
04*09*2014 08:11:19,20.61,23.54,20.38
04*09*2014 08:41:19,21.58,24.51,20.35
04*09*2014 09:11:19,19.57,22.45,20.42
04*09*2014 09:41:19,22.05,24.96,20.5
04*09*2014 10:11:19,22.58,25.51,20.52
04*09*2014 10:41:19,23.87,26.8,20.52
04*09*2014 11:11:19,24.81,27.78,20.52
04*09*2014 11:41:19,25.74,28.63,20.54
04*09*2014 12:11:19,25.54,28.32,20.56
04*09*2014 12:41:19,26.81,29.72,20.58
04*09*2014 13:11:19,27.77,30.65,20.61
04*09*2014 13:41:19,26.29,29.27,20.69
04*09*2014 14:11:19,28.3,31.28,20.75
04*09*2014 14:41:19,29.36,32.6,20.78
04*09*2014 15:11:19,30.5,33.57,20.81
04*09*2014 15:41:19,31.57,34.57,20.82
04*09*2014 16:11:19,32.52,35.56,20.84
04*09*2014 16:41:19,32.68,35.64,20.98
04*09*2014 17:11:19,33.7,36.75,21.04
04*09*2014 17:41:19,34.69,37.72,21.08
04*09*2014 18:11:19,34.95,38.59,21.1
04*09*2014 18:41:19,36.23,39.39,21.11
04*09*2014 19:11:19,37.07,40.14,21.12
04*09*2014 19:41:19,37.64,40.72,21.12
04*09*2014 20:11:19,38.18,41.22,21.13
04*09*2014 20:41:19,38.51,41.86,21.12
04*09*2014 21:11:19,39.3,42.43,21.1
04*09*2014 21:41:19,39.99,43.08,21.08
04*09*2014 22:11:19,40.48,43.7,21.06
04*09*2014 22:41:19,41.11,44.14,21.05
04*09*2014 23:11:19,41.49,44.63,21.05
04*09*2014 23:41:19,42.03,45.22,21.04
05*09*2014 00:11:19,42.68,45.77,21.02
05*09*2014 00:41:19,43.16,46.34,20.99
05*09*2014 01:11:19,43.64,46.78,20.98
05*09*2014 01:41:19,44.07,47.29,20.96
05*09*2014 02:11:19,44.46,47.69,20.95
05*09*2014 02:41:19,44.96,48.24,20.93
05*09*2014 03:11:19,45.45,48.67,20.92
05*09*2014 03:41:19,45.84,49.03,20.92
05*09*2014 04:11:19,46.27,49.42,20.91
05*09*2014 04:41:19,46.63,49.78,20.92
05*09*2014 05:11:19,46.59,50.05,20.92
05*09*2014 05:41:19,47.28,50.47,20.93
05*09*2014 06:11:19,47.66,50.79,20.93
05*09*2014 06:41:19,47.98,51.23,20.93
05*09*2014 07:11:19,48.29,51.49,20.94
05*09*2014 07:41:19,48.57,51.76,20.95
05*09*2014 08:11:19,48.89,52.17,20.96
05*09*2014 08:41:19,49.37,52.57,20.94
05*09*2014 09:11:19,49.67,52.89,20.95
05*09*2014 09:41:19,49,52.26,21.13
05*09*2014 10:11:19,49.86,53.15,21.46
05*09*2014 10:41:19,50.39,53.88,21.76
05*09*2014 11:11:19,50.84,54.37,21.83
05*09*2014 11:41:19,51.23,54.8,21.85
05*09*2014 12:11:19,51.87,55.29,21.82
05*09*2014 12:41:19,52.26,55.85,21.77
05*09*2014 13:11:19,52.62,56.22,21.74
05*09*2014 13:41:19,52.02,55.42,21.8
05*09*2014 14:11:19,52.85,56.44,21.85
05*09*2014 14:41:19,53.31,56.8,21.89
05*09*2014 15:11:19,53.72,57.17,21.89
05*09*2014 15:41:19,54.03,57.62,21.89
05*09*2014 16:11:19,52.33,56.5,21.87
05*09*2014 16:41:19,54.46,58.05,21.93
05*09*2014 17:11:19,54.84,58.55,21.92
05*09*2014 17:41:19,55.15,58.87,21.91
05*09*2014 18:11:19,55.47,59.19,21.9
05*09*2014 18:41:19,55.86,59.51,21.9
05*09*2014 19:11:19,56.17,59.81,21.89
05*09*2014 19:41:19,56.38,60.11,21.87
05*09*2014 20:11:19,56.73,60.45,21.87
05*09*2014 20:41:19,56.92,60.72,21.86
05*09*2014 21:11:19,57.29,61.01,21.85
05*09*2014 21:41:19,57.51,61.27,21.84
05*09*2014 22:11:19,57.75,61.57,21.83
05*09*2014 22:41:19,57.97,61.79,21.82
05*09*2014 23:11:19,58.17,61.94,21.78
05*09*2014 23:41:19,58.52,62.44,21.76
06*09*2014 00:11:19,58.75,62.68,21.73
06*09*2014 00:41:19,58.99,62.95,21.7
06*09*2014 01:11:19,59.25,63.23,21.68
06*09*2014 01:41:19,59.5,63.55,21.66
06*09*2014 02:11:19,59.68,63.81,21.64
06*09*2014 02:41:19,59.89,63.84,21.61
06*09*2014 03:11:19,60.16,64.29,21.6
06*09*2014 03:41:19,60.15,64.15,21.57
06*09*2014 04:11:19,60.57,64.53,21.56
06*09*2014 04:41:19,60.72,64.95,21.54
06*09*2014 05:11:19,60.87,65.17,21.53
06*09*2014 05:41:19,61.15,65.41,21.53
06*09*2014 06:11:19,61.27,65.64,21.5
06*09*2014 06:41:19,61.55,65.91,21.5
06*09*2014 07:11:19,61.71,66.13,21.48
06*09*2014 07:41:19,61.92,66.08,21.46
06*09*2014 08:11:19,62.16,66.43,21.45
06*09*2014 08:41:19,62.3,66.83,21.44
06*09*2014 09:11:19,62.48,67.09,21.42
06*09*2014 09:41:19,62.71,67.29,21.41
06*09*2014 10:11:19,62.92,67.54,21.4
06*09*2014 10:41:19,62.95,66.92,21.39
06*09*2014 11:11:19,63.13,67.91,21.39
06*09*2014 11:41:19,63.37,68.07,21.4
06*09*2014 12:11:19,63.44,68.32,21.39
06*09*2014 12:41:19,63.73,68.37,21.4
06*09*2014 13:11:19,63.88,68.66,21.42
06*09*2014 13:41:19,64.02,68.82,21.43
06*09*2014 14:11:19,64.07,69.06,21.45
06*09*2014 14:41:19,64.37,69.39,21.46
06*09*2014 15:11:19,64.58,69.6,21.46
06*09*2014 15:41:19,64.68,69.71,21.47
06*09*2014 16:11:19,64.91,70.03,21.48
06*09*2014 16:41:19,65.03,70.39,21.49
06*09*2014 17:11:19,65.27,70.7,21.51
06*09*2014 17:41:19,65.52,71.02,21.54
06*09*2014 18:11:19,65.73,70.98,21.58
06*09*2014 18:41:19,65.67,71.48,21.61
06*09*2014 19:11:19,66.02,71.88,21.62
06*09*2014 19:41:19,66.4,72.08,21.61
06*09*2014 20:11:19,66.51,72.33,21.61
06*09*2014 20:41:19,66.61,72.61,21.61
06*09*2014 21:11:19,66.94,72.81,21.61
06*09*2014 21:41:19,67.13,72.88,21.6
06*09*2014 22:11:19,67.08,73.35,21.59
06*09*2014 22:41:19,67.53,73.59,21.57
06*09*2014 23:11:19,67.6,73.62,21.54
06*09*2014 23:41:19,67.95,74.12,21.51
07*09*2014 00:11:19,68.04,74.45,21.47
07*09*2014 00:41:19,68.28,74.74,21.44
07*09*2014 01:11:19,68.58,75.04,21.41
07*09*2014 01:41:19,68.76,75.34,21.37
07*09*2014 02:11:19,69.01,75.74,21.33
07*09*2014 02:41:19,69.24,75.91,21.29
07*09*2014 03:11:19,68.78,76.26,21.24
07*09*2014 03:41:19,69.58,76.58,21.19
07*09*2014 04:11:19,69.81,76.93,21.15
07*09*2014 04:41:19,69.98,77.32,21.1
07*09*2014 05:11:19,70.28,77.52,21.06
07*09*2014 05:41:19,70.5,77.91,21
07*09*2014 06:11:19,70.84,78.25,20.95
07*09*2014 06:41:19,71.03,78.54,20.9
07*09*2014 07:11:19,71.17,78.93,20.85
07*09*2014 07:41:19,71.48,79.06,20.79
07*09*2014 08:11:19,71.76,79.63,20.73
07*09*2014 08:41:19,71.89,79.97,20.67
07*09*2014 09:11:19,72.31,80.52,20.63
07*09*2014 09:41:19,72.53,80.8,20.6
07*09*2014 10:11:19,72.81,80.98,20.58
07*09*2014 10:41:19,73.11,81.35,20.6
07*09*2014 11:11:19,73.08,81.64,20.62
07*09*2014 11:41:19,73.46,81.85,20.64
07*09*2014 12:11:19,73.67,82.19,20.68
07*09*2014 12:41:19,73.74,82.49,20.71
07*09*2014 13:11:19,74.15,82.71,20.73
07*09*2014 13:41:19,74.43,82.77,20.75
07*09*2014 14:11:19,74.54,83.36,20.78
07*09*2014 14:41:19,74.8,83.66,20.8
07*09*2014 15:11:19,75.14,83.99,20.82
07*09*2014 15:41:19,75.33,84.09,20.84
07*09*2014 16:11:19,75.69,84.69,20.87
07*09*2014 16:41:19,75.87,84.73,20.92
07*09*2014 17:11:19,75.8,85.53,20.98
07*09*2014 17:41:19,76.29,85.76,21.07
07*09*2014 18:11:19,76.57,86.35,21.18
07*09*2014 18:41:19,76.82,86.88,21.29
07*09*2014 19:11:19,77.05,87.33,21.39
07*09*2014 19:41:19,77.31,87.73,21.46
07*09*2014 20:11:19,77.73,88.26,21.5
07*09*2014 20:41:19,77.97,88.57,21.52
07*09*2014 21:11:19,78.28,89.06,21.51
07*09*2014 21:41:19,78.48,89.56,21.49
07*09*2014 22:11:19,78.9,89.81,21.47
07*09*2014 22:41:19,79.23,90.26,21.46
07*09*2014 23:11:19,78.65,90.46,21.44
07*09*2014 23:41:19,79.78,90.9,21.41
08*09*2014 00:11:19,80.14,90.64,21.39
08*09*2014 00:41:19,80.53,91.65,21.36
08*09*2014 01:11:19,80.77,92.16,21.35
08*09*2014 01:41:19,80.71,92.49,21.32
08*09*2014 02:11:19,81.35,92.75,21.3
08*09*2014 02:41:19,81.66,93.09,21.27
08*09*2014 03:11:19,82.1,93.59,21.25
08*09*2014 03:41:19,82.18,94.11,21.23
08*09*2014 04:11:19,82.62,94.48,21.21
08*09*2014 04:41:19,82.94,94.99,21.18
08*09*2014 05:11:19,83.27,95.3,21.15
08*09*2014 05:41:19,83.59,95.86,21.13
08*09*2014 06:11:19,83.88,96.13,21.1
08*09*2014 06:41:19,83.91,96.29,21.06
08*09*2014 07:11:19,84.55,97.21,21.03
08*09*2014 07:41:19,84.96,97.66,21
08*09*2014 08:11:19,85.1,98.24,20.96
08*09*2014 08:41:19,85.47,98.49,20.93
08*09*2014 09:11:19,85.45,99.18,20.96
08*09*2014 09:41:19,86.06,99.7,20.93
08*09*2014 10:11:19,86.27,100.22,20.92
08*09*2014 10:41:19,86.76,100.6,20.93
08*09*2014 11:11:19,87.14,101.32,20.94
08*09*2014 11:41:19,87.42,101.6,20.93
08*09*2014 12:11:19,87.83,102.29,20.92
08*09*2014 12:41:19,88.16,102.85,20.9
08*09*2014 13:11:19,88.53,103.46,20.88
08*09*2014 13:41:19,88.9,103.81,20.88
08*09*2014 14:11:19,88.92,104.47,20.88
08*09*2014 14:41:19,89.55,104.8,20.88
08*09*2014 15:11:19,88.99,104.97,20.97
08*09*2014 15:41:19,89.87,105.81,21.06
08*09*2014 16:11:19,90.22,106.59,21.11
08*09*2014 16:41:19,90.52,107.17,21.15
08*09*2014 17:11:19,91.24,107.96,21.21
08*09*2014 17:41:19,91.46,108.57,21.31
08*09*2014 18:11:19,91.66,109.25,21.47
08*09*2014 18:41:19,91.97,110.44,21.69
08*09*2014 19:11:19,92,111.11,22.5
08*09*2014 19:41:19,92.59,112,22.57
08*09*2014 20:11:19,93.13,112.93,22.52
08*09*2014 20:41:19,93.44,113.98,22.43
08*09*2014 21:11:19,94.13,114.9,22.3
08*09*2014 21:41:19,94.7,116.02,22.15
08*09*2014 22:11:19,94.91,117.13,21.99
08*09*2014 22:41:19,95.68,118.54,21.82
08*09*2014 23:11:19,96.16,119.68,21.66
08*09*2014 23:41:19,96.67,120.85,21.52
09*09*2014 00:11:19,97.06,121.98,21.4
09*09*2014 00:41:19,97.65,123.34,21.3
09*09*2014 01:11:19,98.25,124.32,21.19
09*09*2014 01:41:19,98.67,125.58,21.11
09*09*2014 02:11:19,98.89,126.59,21.02
09*09*2014 02:41:19,99.85,128,20.94
09*09*2014 03:11:19,100.38,128.96,20.87
09*09*2014 03:41:19,100.8,130.3,20.8
09*09*2014 04:11:19,101.19,131.4,20.73
09*09*2014 04:41:19,101.83,132.69,20.67
09*09*2014 05:11:19,102.41,133.76,20.61
09*09*2014 05:41:19,103.14,135.06,20.55
09*09*2014 06:11:19,103.87,136.21,20.5
09*09*2014 06:41:19,104.12,137.54,20.45
09*09*2014 07:11:19,104.91,138.51,20.39
09*09*2014 07:41:19,105.45,139.72,20.34
09*09*2014 08:11:19,105.86,140.96,20.27
09*09*2014 08:41:19,106.49,142.27,20.23
09*09*2014 09:11:19,106.94,143.33,20.2
09*09*2014 09:41:19,107.36,144.67,20.37
09*09*2014 10:11:19,107.93,146.59,20.52
09*09*2014 10:41:19,108.74,147.75,20.55
09*09*2014 11:11:19,108.91,149.04,20.55
09*09*2014 11:41:19,109.88,150.34,20.57
09*09*2014 12:11:19,110.46,151.52,20.58
09*09*2014 12:41:19,110.87,153.36,20.59
