Parameter Name,Value
General Information,
Sample name:,44
Start of measurement:,19*03*2015 14:15:57
Stop of measurement:,07*04*2015 08:35:57
Duration of Measurements:,18 Days
Geometric Parameters,
Soil surface area [cm2]:,249
Soil column height [cm]:,5
Position lower tensiometer [cm]:,3.75
Position upper tensiometer [cm]:,1.25
HYPROP Parameters,
Measurement head net weight [g]:,358
Empty soil sampling ring weight [g]:,185.06
Air entry pressure upper tensiometer [bar]:,8.8
Air entry pressure lower tensiometer [bar]:,8.8
Density of solid substance [g/cm3]:,2.65
Statistical analysis,
Tensiometer [hPa]:,0.6
Scale [g]:,0.06
Sensor Unit Information,
Busnumber:,7
Subaddress:,1
Serial number:,760
Sensor unit name:,MY-HYPROP-MK
Firmware Version:,NaN
Scale Information,
Serial number:,
Scale name:,
Correction,
Volume correction [ml]:,0
Weight correction [g]:,0
Start/Stop Line,
Start,19*03*2015 14:15:57
Tension top Air Entry Point,01*04*2015 01:25:57
Tension bottom Air Entry Point,01*04*2015 14:15:57
Calculation of water contents,
Calculation of water contents,From dry soil weight [g]:
Initial water content [Vol%]:,0.400321255726029
Dry soil weight [g]:,333.2
Additional Soil Paramters,
Density [g/cm3]:,1.34
Porosity [-]:,0.49
Fitting Parameters,
INTERPOL,2
Tensiometer_Mean,2
Polynomial_degree,5
wtheta,1
wk,0.001
Fitting,
Model Description,PDI-variant of the bimodal constrained van Genuchten model 
Notes,
General data,
- Site coordinates,
- Sampling date,
- Site description,
- Soil type,
- Land use,
Soil physical data,
"- Texture (%clay, %silt, %sand)",
- Soil texture class,
- Sampling depth,
- Organic carbon content,
Sample preparation and handling,
- Initial saturation procedure,
"- Swelling handling (suppressed, not suppressed, under load)",
Date / Time,Tension bottom [hPa],Tension top [hPa],Temperature [°C]
19*03*2015 20:35:57,16.94,19.4,17.38
19*03*2015 20:45:57,16.38,18.87,17.34
19*03*2015 20:55:57,17.03,19.46,17.34
19*03*2015 21:05:57,17.59,20.01,17.31
19*03*2015 21:15:57,17.53,19.92,17.31
19*03*2015 21:25:57,17.28,19.67,17.27
19*03*2015 21:35:57,17.48,19.89,17.24
19*03*2015 21:45:57,16.87,19.26,17.21
19*03*2015 21:55:57,17.45,19.83,17.21
19*03*2015 22:05:57,17.7,20.08,17.17
19*03*2015 22:15:57,18,20.35,17.17
19*03*2015 22:25:57,17.87,20.22,17.14
19*03*2015 22:35:57,18.31,20.65,17.14
19*03*2015 22:45:57,18.41,20.74,17.1
19*03*2015 22:55:57,18.74,21.07,17.1
19*03*2015 23:05:57,19.04,21.37,17.07
19*03*2015 23:15:57,18.72,21.04,17.07
19*03*2015 23:25:57,19.32,21.62,17.07
19*03*2015 23:35:57,19.56,21.86,17.03
19*03*2015 23:45:57,19.73,22.03,17.03
19*03*2015 23:55:57,19.99,22.28,17
20*03*2015 00:05:57,20.21,22.49,16.97
20*03*2015 00:15:57,20.5,22.77,16.97
20*03*2015 00:25:57,20.71,22.98,16.93
20*03*2015 00:35:57,20.9,23.17,16.93
20*03*2015 00:45:57,21.04,23.31,16.9
20*03*2015 00:55:57,21.19,23.45,16.86
20*03*2015 01:05:57,19.6,21.87,16.86
20*03*2015 01:15:57,20.26,22.52,16.83
20*03*2015 01:25:57,20.82,23.07,16.83
20*03*2015 01:35:57,21.3,23.55,16.83
20*03*2015 01:45:57,21.45,23.7,16.8
20*03*2015 01:55:57,21.64,23.87,16.8
20*03*2015 02:05:57,21.81,24.03,16.76
20*03*2015 02:15:57,21.28,23.51,16.76
20*03*2015 02:25:57,21.68,23.9,16.76
20*03*2015 02:35:57,21.69,23.92,16.73
20*03*2015 02:45:57,21.94,24.17,16.73
20*03*2015 02:55:57,22.13,24.37,16.73
20*03*2015 03:05:57,22.12,24.34,16.69
20*03*2015 03:15:57,22.28,24.5,16.69
20*03*2015 03:25:57,22.51,24.69,16.69
20*03*2015 03:35:57,22.61,24.8,16.66
20*03*2015 03:45:57,22.18,24.35,16.66
20*03*2015 03:55:57,22.52,24.71,16.62
20*03*2015 04:05:57,22.74,24.93,16.62
20*03*2015 04:15:57,22.86,25.03,16.62
20*03*2015 04:25:57,22.95,25.13,16.59
20*03*2015 04:35:57,22.92,25.11,16.59
20*03*2015 04:45:57,23.15,25.34,16.59
20*03*2015 04:55:57,23.24,25.42,16.59
20*03*2015 05:05:57,21.92,24.09,16.59
20*03*2015 05:15:57,22.04,24.2,16.59
20*03*2015 05:25:57,22.48,24.65,16.59
20*03*2015 05:35:57,22.94,25.11,16.56
20*03*2015 05:45:57,23.33,25.49,16.56
20*03*2015 05:55:57,23.5,25.67,16.56
20*03*2015 06:05:57,23.62,25.79,16.52
20*03*2015 06:15:57,23.43,25.59,16.52
20*03*2015 06:25:57,23.56,25.72,16.52
20*03*2015 06:35:57,23.77,25.92,16.49
20*03*2015 06:45:57,23.92,26.08,16.49
20*03*2015 06:55:57,24.02,26.18,16.49
20*03*2015 07:05:57,24.19,26.36,16.49
20*03*2015 07:15:57,24.26,26.44,16.49
20*03*2015 07:25:57,24.32,26.5,16.45
20*03*2015 07:35:57,24.4,26.59,16.49
20*03*2015 07:45:57,24.5,26.7,16.45
20*03*2015 07:55:57,24.27,26.45,16.45
20*03*2015 08:05:57,24.56,26.75,16.49
20*03*2015 08:15:57,24.65,26.83,16.49
20*03*2015 08:25:57,24.73,26.92,16.49
20*03*2015 08:35:57,24.89,27.07,16.49
20*03*2015 08:45:57,24.93,27.1,16.49
20*03*2015 08:55:57,25.11,27.28,16.49
20*03*2015 09:05:57,25.18,27.34,16.49
20*03*2015 09:15:57,25.3,27.46,16.49
20*03*2015 09:25:57,25.36,27.51,16.52
